"Year","Month","Day","Tmax","Tmin"
1992,12,31,NA,NA
1993,1,1,NA,NA
1993,1,2,NA,NA
1993,1,3,NA,NA
1993,1,4,NA,NA
1993,1,5,NA,NA
1993,1,6,NA,NA
1993,1,7,NA,NA
1993,1,8,NA,NA
1993,1,9,NA,NA
1993,1,10,NA,NA
1993,1,11,NA,NA
1993,1,12,NA,NA
1993,1,13,NA,NA
1993,1,14,NA,NA
1993,1,15,NA,NA
1993,1,16,NA,NA
1993,1,17,NA,NA
1993,1,18,NA,NA
1993,1,19,NA,NA
1993,1,20,NA,NA
1993,1,21,NA,NA
1993,1,22,NA,NA
1993,1,23,NA,NA
1993,1,24,NA,NA
1993,1,25,NA,NA
1993,1,26,NA,NA
1993,1,27,NA,NA
1993,1,28,NA,NA
1993,1,29,NA,NA
1993,1,30,NA,NA
1993,1,31,NA,NA
1993,2,1,NA,NA
1993,2,2,NA,NA
1993,2,3,NA,NA
1993,2,4,NA,NA
1993,2,5,NA,NA
1993,2,6,NA,NA
1993,2,7,NA,NA
1993,2,8,NA,NA
1993,2,9,NA,NA
1993,2,10,NA,NA
1993,2,11,NA,NA
1993,2,12,NA,NA
1993,2,13,NA,NA
1993,2,14,NA,NA
1993,2,15,NA,NA
1993,2,16,NA,NA
1993,2,17,NA,NA
1993,2,18,NA,NA
1993,2,19,NA,NA
1993,2,20,NA,NA
1993,2,21,NA,NA
1993,2,22,NA,NA
1993,2,23,NA,NA
1993,2,24,NA,NA
1993,2,25,NA,NA
1993,2,26,NA,NA
1993,2,27,NA,NA
1993,2,28,NA,NA
1993,3,1,NA,NA
1993,3,2,NA,NA
1993,3,3,NA,NA
1993,3,4,NA,NA
1993,3,5,NA,NA
1993,3,6,NA,NA
1993,3,7,NA,NA
1993,3,8,NA,NA
1993,3,9,NA,NA
1993,3,10,NA,NA
1993,3,11,NA,NA
1993,3,12,NA,NA
1993,3,13,NA,NA
1993,3,14,NA,NA
1993,3,15,NA,NA
1993,3,16,NA,NA
1993,3,17,NA,NA
1993,3,18,NA,NA
1993,3,19,NA,NA
1993,3,20,NA,NA
1993,3,21,NA,NA
1993,3,22,NA,NA
1993,3,23,NA,NA
1993,3,24,NA,NA
1993,3,25,NA,NA
1993,3,26,NA,NA
1993,3,27,NA,NA
1993,3,28,NA,NA
1993,3,29,NA,NA
1993,3,30,NA,NA
1993,3,31,NA,NA
1993,4,1,NA,NA
1993,4,2,NA,NA
1993,4,3,NA,NA
1993,4,4,NA,NA
1993,4,5,NA,NA
1993,4,6,NA,NA
1993,4,7,NA,NA
1993,4,8,NA,NA
1993,4,9,NA,NA
1993,4,10,NA,NA
1993,4,11,NA,NA
1993,4,12,NA,NA
1993,4,13,NA,NA
1993,4,14,NA,NA
1993,4,15,NA,NA
1993,4,16,NA,NA
1993,4,17,NA,NA
1993,4,18,NA,NA
1993,4,19,NA,NA
1993,4,20,NA,NA
1993,4,21,NA,NA
1993,4,22,NA,NA
1993,4,23,NA,NA
1993,4,24,NA,NA
1993,4,25,NA,NA
1993,4,26,NA,NA
1993,4,27,NA,NA
1993,4,28,NA,NA
1993,4,29,NA,NA
1993,4,30,NA,NA
1993,5,1,NA,NA
1993,5,2,NA,NA
1993,5,3,NA,NA
1993,5,4,NA,NA
1993,5,5,NA,NA
1993,5,6,NA,NA
1993,5,7,NA,NA
1993,5,8,NA,NA
1993,5,9,NA,NA
1993,5,10,NA,NA
1993,5,11,NA,NA
1993,5,12,NA,NA
1993,5,13,NA,NA
1993,5,14,NA,NA
1993,5,15,NA,NA
1993,5,16,NA,NA
1993,5,17,NA,NA
1993,5,18,NA,NA
1993,5,19,NA,NA
1993,5,20,NA,NA
1993,5,21,NA,NA
1993,5,22,NA,NA
1993,5,23,NA,NA
1993,5,24,NA,NA
1993,5,25,NA,NA
1993,5,26,NA,NA
1993,5,27,NA,NA
1993,5,28,NA,NA
1993,5,29,NA,NA
1993,5,30,NA,NA
1993,5,31,NA,NA
1993,6,1,NA,NA
1993,6,2,NA,NA
1993,6,3,NA,NA
1993,6,4,NA,NA
1993,6,5,NA,NA
1993,6,6,NA,NA
1993,6,7,NA,NA
1993,6,8,NA,NA
1993,6,9,NA,NA
1993,6,10,NA,NA
1993,6,11,NA,NA
1993,6,12,NA,NA
1993,6,13,NA,NA
1993,6,14,NA,NA
1993,6,15,NA,NA
1993,6,16,NA,NA
1993,6,17,NA,NA
1993,6,18,NA,NA
1993,6,19,NA,NA
1993,6,20,NA,NA
1993,6,21,NA,NA
1993,6,22,NA,NA
1993,6,23,NA,NA
1993,6,24,NA,NA
1993,6,25,NA,NA
1993,6,26,NA,NA
1993,6,27,NA,NA
1993,6,28,NA,NA
1993,6,29,NA,NA
1993,6,30,NA,NA
1993,7,1,NA,NA
1993,7,2,NA,NA
1993,7,3,NA,NA
1993,7,4,NA,NA
1993,7,5,NA,NA
1993,7,6,NA,NA
1993,7,7,NA,NA
1993,7,8,NA,NA
1993,7,9,NA,NA
1993,7,10,NA,NA
1993,7,11,NA,NA
1993,7,12,NA,NA
1993,7,13,NA,NA
1993,7,14,NA,NA
1993,7,15,NA,NA
1993,7,16,NA,NA
1993,7,17,NA,NA
1993,7,18,NA,NA
1993,7,19,NA,NA
1993,7,20,NA,NA
1993,7,21,NA,NA
1993,7,22,NA,NA
1993,7,23,NA,NA
1993,7,24,NA,NA
1993,7,25,NA,NA
1993,7,26,NA,NA
1993,7,27,NA,NA
1993,7,28,NA,NA
1993,7,29,NA,NA
1993,7,30,NA,NA
1993,7,31,NA,NA
1993,8,1,NA,NA
1993,8,2,NA,NA
1993,8,3,NA,NA
1993,8,4,NA,NA
1993,8,5,NA,NA
1993,8,6,NA,NA
1993,8,7,NA,NA
1993,8,8,NA,NA
1993,8,9,NA,NA
1993,8,10,NA,NA
1993,8,11,NA,NA
1993,8,12,NA,NA
1993,8,13,NA,NA
1993,8,14,NA,NA
1993,8,15,NA,NA
1993,8,16,NA,NA
1993,8,17,NA,NA
1993,8,18,NA,NA
1993,8,19,NA,NA
1993,8,20,NA,NA
1993,8,21,NA,NA
1993,8,22,NA,NA
1993,8,23,NA,NA
1993,8,24,16.778,11
1993,8,25,NA,NA
1993,8,26,NA,NA
1993,8,27,NA,NA
1993,8,28,NA,NA
1993,8,29,NA,NA
1993,8,30,NA,NA
1993,8,31,NA,NA
1993,9,1,NA,NA
1993,9,2,NA,NA
1993,9,3,NA,NA
1993,9,4,NA,NA
1993,9,5,NA,NA
1993,9,6,NA,NA
1993,9,7,NA,NA
1993,9,8,NA,NA
1993,9,9,17.389,14.111
1993,9,10,NA,NA
1993,9,11,NA,NA
1993,9,12,NA,NA
1993,9,13,NA,NA
1993,9,14,NA,NA
1993,9,15,NA,NA
1993,9,16,NA,NA
1993,9,17,NA,NA
1993,9,18,NA,NA
1993,9,19,NA,NA
1993,9,20,NA,NA
1993,9,21,NA,NA
1993,9,22,NA,NA
1993,9,23,NA,NA
1993,9,24,NA,NA
1993,9,25,NA,NA
1993,9,26,NA,NA
1993,9,27,NA,NA
1993,9,28,NA,NA
1993,9,29,NA,NA
1993,9,30,NA,NA
1993,10,1,NA,NA
1993,10,2,NA,NA
1993,10,3,NA,NA
1993,10,4,NA,NA
1993,10,5,NA,NA
1993,10,6,NA,NA
1993,10,7,NA,NA
1993,10,8,NA,NA
1993,10,9,NA,NA
1993,10,10,NA,NA
1993,10,11,NA,NA
1993,10,12,NA,NA
1993,10,13,NA,NA
1993,10,14,NA,NA
1993,10,15,NA,NA
1993,10,16,NA,NA
1993,10,17,NA,NA
1993,10,18,NA,NA
1993,10,19,NA,NA
1993,10,20,NA,NA
1993,10,21,NA,NA
1993,10,22,NA,NA
1993,10,23,NA,NA
1993,10,24,NA,NA
1993,10,25,NA,NA
1993,10,26,NA,NA
1993,10,27,NA,NA
1993,10,28,NA,NA
1993,10,29,NA,NA
1993,10,30,NA,NA
1993,10,31,NA,NA
1993,11,1,NA,NA
1993,11,2,NA,NA
1993,11,3,NA,NA
1993,11,4,NA,NA
1993,11,5,NA,NA
1993,11,6,NA,NA
1993,11,7,NA,NA
1993,11,8,NA,NA
1993,11,9,NA,NA
1993,11,10,NA,NA
1993,11,11,NA,NA
1993,11,12,NA,NA
1993,11,13,NA,NA
1993,11,14,NA,NA
1993,11,15,NA,NA
1993,11,16,NA,NA
1993,11,17,NA,NA
1993,11,18,NA,NA
1993,11,19,NA,NA
1993,11,20,NA,NA
1993,11,21,NA,NA
1993,11,22,NA,NA
1993,11,23,NA,NA
1993,11,24,NA,NA
1993,11,25,NA,NA
1993,11,26,NA,NA
1993,11,27,NA,NA
1993,11,28,NA,NA
1993,11,29,NA,NA
1993,11,30,NA,NA
1993,12,1,NA,NA
1993,12,2,NA,NA
1993,12,3,NA,NA
1993,12,4,NA,NA
1993,12,5,NA,NA
1993,12,6,NA,NA
1993,12,7,NA,NA
1993,12,8,NA,NA
1993,12,9,NA,NA
1993,12,10,NA,NA
1993,12,11,NA,NA
1993,12,12,NA,NA
1993,12,13,NA,NA
1993,12,14,NA,NA
1993,12,15,NA,NA
1993,12,16,NA,NA
1993,12,17,NA,NA
1993,12,18,NA,NA
1993,12,19,NA,NA
1993,12,20,NA,NA
1993,12,21,NA,NA
1993,12,22,NA,NA
1993,12,23,NA,NA
1993,12,24,NA,NA
1993,12,25,NA,NA
1993,12,26,NA,NA
1993,12,27,NA,NA
1993,12,28,NA,NA
1993,12,29,NA,NA
1993,12,30,NA,NA
1993,12,31,NA,NA
